2022-03-02 02:31:41,013 INFO    Thread-768:18400 [wandb_setup.py:_flush():69] setting env: {'project': 'matrix-factorization', 'entity': 'lubomirkurcak', 'root_dir': 'W:\\rpnn\\python', 'sweep_id': 'jneupcgr', 'run_id': 'nnxw8l8g', 'sweep_param_path': 'W:\\rpnn\\python\\wandb\\sweep-jneupcgr\\config-nnxw8l8g.yaml'}
2022-03-02 02:31:41,014 INFO    Thread-768:18400 [wandb_setup.py:_flush():69] setting login settings: {}
2022-03-02 02:31:41,014 INFO    Thread-768:18400 [wandb_init.py:_log_setup():334] Logging user logs to W:\rpnn\python\wandb\run-20220302_023141-nnxw8l8g\logs\debug.log
2022-03-02 02:31:41,014 INFO    Thread-768:18400 [wandb_init.py:_log_setup():335] Logging internal logs to W:\rpnn\python\wandb\run-20220302_023141-nnxw8l8g\logs\debug-internal.log
2022-03-02 02:31:41,014 INFO    Thread-768:18400 [wandb_init.py:_jupyter_setup():285] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000020D31F58550>
2022-03-02 02:31:41,014 INFO    Thread-768:18400 [wandb_init.py:init():367] calling init triggers
2022-03-02 02:31:41,015 INFO    Thread-768:18400 [wandb_init.py:init():372] wandb.init called with sweep_config: {'dropout': 0, 'epochs': 50000, 'features': 15, 'fp_emax': 40, 'fp_explim': 'CPFLOAT_EXPRANGE_TARG', 'fp_flip': 'CPFLOAT_SOFTERR', 'fp_p': 0.021773091724635096, 'fp_precision': 14, 'fp_round': 'CPFLOAT_NO_RND', 'fp_subnormal': 'CPFLOAT_SUBN_USE', 'learning_rate': 0.001, 'loss': 'mean_squared_error', 'momentum_coefficient': 0, 'non_negative': 1, 'weight_decay': 0.0001}
config: {}
2022-03-02 02:31:41,015 INFO    Thread-768:18400 [wandb_init.py:init():416] starting backend
2022-03-02 02:31:41,015 INFO    Thread-768:18400 [backend.py:_multiprocessing_setup():69] multiprocessing start_methods=spawn, using: spawn
2022-03-02 02:31:41,016 INFO    Thread-768:18400 [backend.py:ensure_launched():123] starting backend process...
2022-03-02 02:31:41,086 INFO    Thread-768:18400 [backend.py:ensure_launched():127] started backend process with pid: 25096
2022-03-02 02:31:41,086 INFO    Thread-768:18400 [wandb_init.py:init():421] backend started and connected
2022-03-02 02:31:41,095 INFO    Thread-768:18400 [wandb_run.py:_config_callback():733] config_cb None None {'dropout': 0, 'epochs': 50000, 'features': 15, 'fp_emax': 40, 'fp_explim': 'CPFLOAT_EXPRANGE_TARG', 'fp_flip': 'CPFLOAT_SOFTERR', 'fp_p': 0.021773091724635096, 'fp_precision': 14, 'fp_round': 'CPFLOAT_NO_RND', 'fp_subnormal': 'CPFLOAT_SUBN_USE', 'learning_rate': 0.001, 'loss': 'mean_squared_error', 'momentum_coefficient': 0, 'non_negative': 1, 'weight_decay': 0.0001}
2022-03-02 02:31:41,095 INFO    Thread-768:18400 [wandb_init.py:init():461] updated telemetry
2022-03-02 02:31:41,096 INFO    Thread-768:18400 [wandb_init.py:init():480] communicating current version
2022-03-02 02:31:42,035 INFO    Thread-768:18400 [wandb_init.py:init():485] got version response upgrade_message: "wandb version 0.12.11 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-03-02 02:31:42,035 INFO    Thread-768:18400 [wandb_init.py:init():493] communicating run to backend with 30 second timeout
2022-03-02 02:31:42,395 INFO    Thread-768:18400 [wandb_init.py:init():518] starting run threads in backend
2022-03-02 02:31:42,562 INFO    Thread-768:18400 [wandb_run.py:_console_start():1476] atexit reg
2022-03-02 02:31:42,563 INFO    Thread-768:18400 [wandb_run.py:_redirect():1339] redirect: SettingsConsole.WRAP
2022-03-02 02:31:42,563 INFO    Thread-768:18400 [wandb_run.py:_redirect():1374] Wrapping output streams.
2022-03-02 02:31:42,563 INFO    Thread-768:18400 [wandb_run.py:_redirect():1390] Redirects installed.
2022-03-02 02:31:42,563 INFO    Thread-768:18400 [wandb_init.py:init():542] run started, returning control to user process
2022-03-02 02:31:57,769 INFO    Thread-768:18400 [wandb_run.py:finish():1135] finishing run lubomirkurcak/matrix-factorization/nnxw8l8g
